"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","133",2022-06-30,181,2022-06-29 16:00:00,2022-06-30 02:00:00,600,-32,-0.00096969696970225,2022-06-30 02:00:00,2022-06-30 16:00:00,840,93,0.00189583333332797,NA
"2","133",2022-07-01,182,2022-06-30 16:00:00,2022-07-01 02:00:00,600,-38,-0.00118181818180982,2022-07-01 02:00:00,2022-07-01 17:00:00,900,120,0.00249428104575163,NA
"3","133",2022-07-02,183,2022-07-01 17:00:00,2022-07-02 02:00:00,540,-38,-0.00143771043774066,2022-07-02 02:00:00,2022-07-02 16:00:00,840,94,0.0018462301586978,NA
"4","133",2022-07-03,184,2022-07-02 16:00:00,2022-07-03 01:00:00,540,-15,-0.000434343434346834,2022-07-03 01:00:00,2022-07-03 15:00:00,840,67,0.00146726190474615,NA
"5","133",2022-07-04,185,2022-07-03 15:00:00,2022-07-04 02:00:00,660,-24,-0.00062937062938803,2022-07-04 02:00:00,2022-07-04 15:00:00,780,91,0.00193956043956319,NA
"6","133",2022-07-05,186,2022-07-04 15:00:00,2022-07-05 01:00:00,600,-58,-0.0018585858585966,2022-07-05 01:00:00,2022-07-05 18:00:00,1020,83,0.00147230822155522,NA
"7","133",2022-07-05,186,2022-07-05 18:00:00,2022-07-05 23:00:00,300,-14,-0.000904761904790282,NA,NA,NA,NA,NA,NA
"8","133",2022-07-06,187,NA,NA,NA,NA,NA,2022-07-05 23:00:00,2022-07-06 18:00:00,1140,140,0.00235338345863898,NA
"9","133",2022-07-07,188,2022-07-06 18:00:00,2022-07-07 01:00:00,420,-27,-0.00114748677249655,2022-07-07 01:00:00,2022-07-07 14:00:00,780,22,0.000511599511605037,NA
"10","133",2022-07-08,189,2022-07-07 14:00:00,2022-07-08 04:00:00,840,-24,-0.000611111111104486,2022-07-08 04:00:00,2022-07-08 18:00:00,840,74,0.00174007936507522,NA
"11","133",2022-07-09,190,2022-07-08 18:00:00,2022-07-09 02:00:00,480,-60,-0.00224537037037036,2022-07-09 02:00:00,2022-07-09 14:00:00,720,66,0.00147283272285452,-1
"12","133",2022-07-10,191,2022-07-09 14:00:00,2022-07-10 00:00:00,600,-41,-0.00132323232324013,2022-07-10 00:00:00,2022-07-10 14:00:00,840,44,0.000976190476179361,NA
"13","133",2022-07-11,192,2022-07-10 14:00:00,2022-07-11 02:00:00,720,-70,-0.00183913308910147,2022-07-11 02:00:00,2022-07-11 14:00:00,720,72,0.00168498168498838,-1
"14","133",2022-07-12,193,2022-07-11 14:00:00,2022-07-12 03:00:00,780,-97,-0.00265079365079758,2022-07-12 03:00:00,2022-07-12 15:00:00,720,85,0.00211843711842463,-1
"15","133",2022-07-13,194,2022-07-12 15:00:00,2022-07-13 01:00:00,600,-67,-0.00212121212122326,2022-07-13 01:00:00,2022-07-13 15:00:00,840,100,0.00236706349203855,NA
"16","133",2022-07-14,195,2022-07-13 15:00:00,2022-07-14 00:00:00,540,-23,-0.000772727272720977,2022-07-14 00:00:00,2022-07-14 14:00:00,840,84,0.00161904761902846,NA
"17","133",2022-07-15,196,2022-07-14 14:00:00,2022-07-15 02:00:00,720,-41,-0.00116910866910167,2022-07-15 02:00:00,2022-07-15 15:00:00,780,101,0.002431623931627,NA
"18","133",2022-07-16,197,2022-07-15 15:00:00,2022-07-16 00:00:00,540,-53,-0.0018535353535764,2022-07-16 00:00:00,2022-07-16 17:00:00,1020,103,0.00200550395598251,NA
"19","133",2022-07-17,198,2022-07-16 17:00:00,2022-07-17 01:00:00,480,-14,-0.000444444444444444,2022-07-17 01:00:00,2022-07-17 14:00:00,780,46,0.000929181929183175,NA
"20","133",2022-07-18,199,2022-07-17 14:00:00,2022-07-18 02:00:00,720,-40,-0.00106074481073963,2022-07-18 02:00:00,2022-07-18 14:00:00,720,62,0.00131715506717135,NA
"21","133",2022-07-18,199,2022-07-18 14:00:00,2022-07-18 23:00:00,540,-44,-0.00155555555554409,NA,NA,NA,NA,NA,NA
"22","133",2022-07-19,200,NA,NA,NA,NA,NA,2022-07-18 23:00:00,2022-07-19 15:00:00,960,100,0.00193150871460129,NA
"23","133",2022-07-20,201,2022-07-19 15:00:00,2022-07-20 01:00:00,600,-46,-0.00150252525251584,2022-07-20 01:00:00,2022-07-20 13:00:00,720,93,0.0022115384615474,-1
"24","133",2022-07-21,202,2022-07-20 13:00:00,2022-07-21 03:00:00,840,-53,-0.00129464285712882,2022-07-21 03:00:00,2022-07-21 14:00:00,660,102,0.0025252525252849,-1
"25","133",2022-07-22,203,2022-07-21 14:00:00,2022-07-22 01:00:00,660,-36,-0.00109945609946136,2022-07-22 01:00:00,2022-07-22 14:00:00,780,80,0.00183150183150426,NA
"26","133",2022-07-23,204,2022-07-22 14:00:00,2022-07-23 01:00:00,660,-31,-0.000743006993020026,2022-07-23 01:00:00,2022-07-23 17:00:00,960,80,0.00152641612202819,NA
"27","133",2022-07-24,205,2022-07-23 17:00:00,2022-07-24 02:00:00,540,-48,-0.00174242424241256,2022-07-24 02:00:00,2022-07-24 14:00:00,720,55,0.00132783882783128,-1
"28","133",2022-07-25,206,2022-07-24 14:00:00,2022-07-25 02:00:00,720,-62,-0.00171550671551369,2022-07-25 02:00:00,2022-07-25 14:00:00,720,84,0.00210012210010982,-1
"29","133",2022-07-26,207,2022-07-25 14:00:00,2022-07-26 02:00:00,720,-76,-0.00190628815629571,2022-07-26 02:00:00,2022-07-26 14:00:00,720,84,0.00216880341879154,-1
"30","133",2022-07-27,208,2022-07-26 14:00:00,2022-07-27 02:00:00,720,-64,-0.00165293040292022,2022-07-27 02:00:00,2022-07-27 15:00:00,780,111,0.0027051282051314,NA
"31","133",2022-07-28,209,2022-07-27 15:00:00,2022-07-28 01:00:00,600,-51,-0.00163383838384674,2022-07-28 01:00:00,2022-07-28 15:00:00,840,97,0.00231249999995832,NA
"32","133",2022-07-29,210,2022-07-28 15:00:00,2022-07-29 02:00:00,660,-59,-0.00176767676770061,2022-07-29 02:00:00,2022-07-29 15:00:00,780,95,0.00224664224664514,NA
"33","133",2022-07-30,211,2022-07-29 15:00:00,2022-07-30 02:00:00,660,-100,-0.00294871794879514,2022-07-30 02:00:00,2022-07-30 15:00:00,780,113,0.00274236874237231,NA
"34","133",2022-07-30,211,2022-07-30 15:00:00,2022-07-30 23:00:00,480,-60,-0.00231481481481481,NA,NA,NA,NA,NA,NA
"35","133",2022-07-31,212,NA,NA,NA,NA,NA,2022-07-30 23:00:00,2022-07-31 15:00:00,960,114,0.00219294662304122,NA
"36","133",2022-08-01,213,2022-07-31 15:00:00,2022-08-01 01:00:00,600,-81,-0.00250252525250845,2022-08-01 01:00:00,2022-08-01 14:00:00,780,95,0.00218925518927628,NA
"37","133",2022-08-02,214,2022-08-01 14:00:00,2022-08-02 00:00:00,600,-65,-0.00211616161614572,2022-08-02 00:00:00,2022-08-02 15:00:00,900,95,0.00198978758169935,NA
"38","133",2022-08-03,215,2022-08-02 15:00:00,2022-08-03 01:00:00,600,-76,-0.00238636363637755,2022-08-03 01:00:00,2022-08-03 14:00:00,780,75,0.00179426129426347,NA
"39","133",2022-08-04,216,2022-08-03 14:00:00,2022-08-04 01:00:00,660,-59,-0.00174242424245184,2022-08-04 01:00:00,2022-08-04 14:00:00,780,103,0.00213553113555089,NA
"40","133",2022-08-05,217,2022-08-04 14:00:00,2022-08-05 01:00:00,660,-59,-0.00185897435900298,2022-08-05 01:00:00,2022-08-05 17:00:00,960,68,0.00143382352942333,NA
"41","133",2022-08-06,218,2022-08-05 17:00:00,2022-08-06 02:00:00,540,-65,-0.00227441077439844,2022-08-06 02:00:00,2022-08-06 13:00:00,660,82,0.00222999223002594,-1
"42","133",2022-08-07,219,2022-08-06 13:00:00,2022-08-07 01:00:00,720,-82,-0.00229090354091289,2022-08-07 01:00:00,2022-08-07 14:00:00,780,91,0.00222771672771968,NA
"43","133",2022-08-08,220,2022-08-07 14:00:00,2022-08-08 02:00:00,720,-94,-0.00268009768010789,2022-08-08 02:00:00,2022-08-08 15:00:00,780,124,0.00291147741150385,NA
"44","133",2022-08-09,221,2022-08-08 15:00:00,2022-08-09 00:00:00,540,-37,-0.00136868686865549,2022-08-09 00:00:00,2022-08-09 16:00:00,960,80,0.0015468409585785,NA
"45","133",2022-08-10,222,2022-08-09 16:00:00,2022-08-10 01:00:00,540,-45,-0.00164983164986738,2022-08-10 01:00:00,2022-08-10 17:00:00,960,62,0.00116693899784253,NA
"46","133",2022-08-11,223,2022-08-10 17:00:00,2022-08-11 01:00:00,480,-48,-0.00188425925925925,2022-08-11 01:00:00,2022-08-11 14:00:00,780,58,0.00128632478633712,NA
"47","133",2022-08-12,224,2022-08-11 14:00:00,2022-08-12 00:00:00,600,-66,-0.00204545454543882,2022-08-12 00:00:00,2022-08-12 15:00:00,900,80,0.00163970588235294,NA
"48","133",2022-08-13,225,2022-08-12 15:00:00,2022-08-13 01:00:00,600,-40,-0.00133838383839111,2022-08-13 01:00:00,2022-08-13 14:00:00,780,62,0.00130402930403103,NA
"49","133",2022-08-14,226,2022-08-13 14:00:00,2022-08-14 01:00:00,660,-60,-0.00181915306920352,2022-08-14 01:00:00,2022-08-14 15:00:00,840,75,0.00161111111108182,NA
"50","133",2022-08-15,227,2022-08-14 15:00:00,2022-08-15 01:00:00,600,-79,-0.00258838383839814,2022-08-15 01:00:00,2022-08-15 14:00:00,780,80,0.00190231990232243,NA
"51","133",2022-08-16,228,2022-08-15 14:00:00,2022-08-16 01:00:00,660,-75,-0.00224747474748526,2022-08-16 01:00:00,2022-08-16 15:00:00,840,90,0.00201289682537664,NA
