"Plot Title: SLICE-2"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 9992071, LBL: C 50cm)","Rain, in (LGR S/N: 9956743, SEN S/N: 10093633, LBL: rain>)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10400451, LBL: AIR 2m)","RH, % (LGR S/N: 9956743, SEN S/N: 10400451, LBL: RH 2m)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10407856, LBL: SOIL 50cm)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10407859, LBL: SOIL 10cm)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10407860, LBL: AIR 3m)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10462346, LBL: air-1M)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584345, LBL: B-10)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584346, LBL: B-50)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584347, LBL: A-10)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584348, LBL: A-50)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584349, LBL: C-10)"
1,12/02/21 01:00:00 PM,0.3125,,49.338,100.000,51.193,53.515,50.002,50.268,0.3001,0.3299,0.3072,0.3471,0.3231
2,12/02/21 01:30:00 PM,0.3121,0.000,50.180,100.000,51.193,53.515,50.400,50.797,0.3001,0.3299,0.3077,0.3471,0.3231
3,12/02/21 02:00:00 PM,0.3121,0.000,50.929,100.000,51.193,53.515,51.193,51.148,0.3001,0.3299,0.3077,0.3471,0.3231
4,12/02/21 02:30:00 PM,0.3118,0.000,49.649,100.000,51.193,53.559,49.959,49.959,0.3001,0.3299,0.3077,0.3466,0.3231
5,12/02/21 03:00:00 PM,0.3118,0.000,49.561,100.000,51.193,53.559,50.047,49.604,0.3001,0.3299,0.3072,0.3466,0.3231
6,12/02/21 03:30:00 PM,0.3118,0.000,48.272,99.400,51.193,53.602,48.538,48.227,0.3001,0.3295,0.3072,0.3461,0.3228
7,12/02/21 04:00:00 PM,0.3113,0.000,46.211,98.900,51.193,53.602,46.706,45.986,0.2997,0.3295,0.3069,0.3466,0.3228
8,12/02/21 04:30:00 PM,0.3113,0.000,46.076,98.900,51.193,53.602,46.706,45.896,0.3001,0.3295,0.3072,0.3457,0.3228
9,12/02/21 05:00:00 PM,0.3113,0.000,45.082,99.100,51.148,53.559,45.761,44.856,0.2997,0.3295,0.3072,0.3461,0.3231
10,12/02/21 05:30:00 PM,0.3110,0.000,45.851,99.000,51.148,53.602,46.481,45.534,0.2997,0.3290,0.3072,0.3457,0.3228
11,12/02/21 06:00:00 PM,0.3110,0.000,45.127,99.000,51.148,53.559,45.669,44.809,0.2997,0.3295,0.3072,0.3457,0.3228
12,12/02/21 06:30:00 PM,0.3110,0.000,44.445,99.200,51.148,53.559,45.082,44.173,0.2997,0.3295,0.3069,0.3457,0.3228
13,12/02/21 07:00:00 PM,0.3106,0.000,44.809,99.300,51.148,53.559,45.354,44.582,0.2997,0.3290,0.3069,0.3457,0.3228
14,12/02/21 07:30:00 PM,0.3106,0.000,45.127,99.500,51.148,53.515,45.579,44.946,0.2997,0.3290,0.3069,0.3451,0.3228
15,12/02/21 08:00:00 PM,0.3106,0.000,45.444,99.400,51.193,53.472,45.806,45.307,0.2997,0.3290,0.3069,0.3457,0.3228
16,12/02/21 08:30:00 PM,0.3106,0.000,45.489,99.200,51.193,53.472,45.851,45.444,0.2997,0.3290,0.3072,0.3451,0.3228
17,12/02/21 09:00:00 PM,0.3106,0.000,45.624,99.000,51.193,53.427,46.076,45.534,0.2997,0.3290,0.3069,0.3451,0.3228
18,12/02/21 09:30:00 PM,0.3102,0.000,45.669,98.900,51.193,53.427,46.031,45.489,0.2994,0.3290,0.3069,0.3451,0.3228
19,12/02/21 10:00:00 PM,0.3102,0.000,45.444,98.500,51.193,53.384,45.761,45.307,0.2994,0.3286,0.3069,0.3447,0.3228
20,12/02/21 10:30:00 PM,0.3102,0.000,45.307,98.500,51.193,53.384,45.669,45.262,0.2994,0.3286,0.3069,0.3451,0.3228
21,12/02/21 11:00:00 PM,0.3098,0.000,45.399,98.600,51.193,53.341,45.761,45.307,0.2994,0.3286,0.3066,0.3441,0.3228
22,12/02/21 11:30:00 PM,0.3098,0.000,45.217,98.500,51.193,53.341,45.444,45.217,0.2994,0.3286,0.3069,0.3447,0.3228
23,12/03/21 12:00:00 AM,0.3095,0.000,44.719,98.500,51.193,53.298,45.036,44.764,0.2994,0.3286,0.3069,0.3441,0.3228
24,12/03/21 12:30:00 AM,0.3095,0.000,44.582,98.200,51.193,53.298,44.901,44.582,0.2994,0.3282,0.3069,0.3441,0.3228
25,12/03/21 01:00:00 AM,0.3095,0.008,44.537,98.200,51.193,53.253,44.809,44.445,0.2994,0.3282,0.3069,0.3441,0.3223
26,12/03/21 01:30:00 AM,0.3095,0.000,44.037,98.300,51.193,53.253,43.945,44.310,0.2994,0.3286,0.3066,0.3441,0.3223
27,12/03/21 02:00:00 AM,0.3092,0.000,43.122,98.500,51.193,53.209,43.259,43.259,0.2994,0.3286,0.3066,0.3441,0.3228
