"Plot Title: SLICE BUTTE"
"#","Date Time, GMT-07:00","Rain, in (LGR S/N: 2252775, SEN S/N: 2007610, LBL: PPT)","Temp, °F (LGR S/N: 2252775, SEN S/N: 2244650, LBL: S.'C.50)","Temp, °F (LGR S/N: 2252775, SEN S/N: 2244651, LBL: S.'C.10)","Temp, °F (LGR S/N: 2252775, SEN S/N: 2250730, LBL: Air.'C.2m)","RH, % (LGR S/N: 2252775, SEN S/N: 2250730, LBL: RH)","Water Content, m³/m³ (LGR S/N: 2252775, SEN S/N: 2252914, LBL: C.10)","Water Content, m³/m³ (LGR S/N: 2252775, SEN S/N: 2252915, LBL: B.10)","Water Content, m³/m³ (LGR S/N: 2252775, SEN S/N: 2252917, LBL: C.50)","Water Content, m³/m³ (LGR S/N: 2252775, SEN S/N: 2252918, LBL: B.50)","Water Content, m³/m³ (LGR S/N: 2252775, SEN S/N: 2252919, LBL: A.10)","Water Content, m³/m³ (LGR S/N: 2252775, SEN S/N: 2252921, LBL: A.50)","Temp, °F (LGR S/N: 2252775, SEN S/N: 2442411, LBL: Air.'C.3m)","Temp, °F (LGR S/N: 2252775, SEN S/N: 2442412, LBL: Air.'C. 1m)"
1,05/31/22 04:00:00 PM,,52.160,57.290,72.093,56.200,0.2570,0.2956,0.2634,0.3346,0.2786,0.2536,70.846,90.286
2,05/31/22 04:30:00 PM,0.000,52.160,57.549,73.083,54.400,0.2566,0.2952,0.2634,0.3342,0.2786,0.2536,72.136,89.177
3,05/31/22 05:00:00 PM,0.000,52.115,57.850,73.256,53.500,0.2566,0.2952,0.2629,0.3338,0.2782,0.2532,73.170,90.612
4,05/31/22 05:30:00 PM,0.000,52.115,58.152,70.201,59.800,0.2566,0.2948,0.2621,0.3334,0.2782,0.2523,68.871,80.184
5,05/31/22 06:00:00 PM,0.000,52.115,58.411,70.887,58.700,0.2562,0.2948,0.2617,0.3334,0.2782,0.2519,71.190,84.137
6,05/31/22 06:30:00 PM,0.000,52.115,58.582,68.698,61.600,0.2566,0.2948,0.2617,0.3329,0.2782,0.2515,69.129,79.612
7,05/31/22 07:00:00 PM,0.000,52.160,58.669,65.658,66.200,0.2562,0.2943,0.2612,0.3325,0.2782,0.2511,66.344,70.502
8,05/31/22 07:30:00 PM,0.000,52.072,58.626,62.319,74.500,0.2562,0.2943,0.2608,0.3321,0.2782,0.2511,63.090,61.848
9,05/31/22 08:00:00 PM,0.000,52.115,58.498,60.690,76.500,0.2562,0.2948,0.2608,0.3317,0.2782,0.2506,61.934,59.745
10,05/31/22 08:30:00 PM,0.000,52.115,58.368,59.056,80.700,0.2566,0.2943,0.2604,0.3312,0.2782,0.2506,60.260,57.290
11,05/31/22 09:00:00 PM,0.000,52.115,58.152,58.842,79.800,0.2562,0.2943,0.2600,0.3312,0.2782,0.2502,60.089,56.858
12,05/31/22 09:30:00 PM,0.000,52.115,57.936,57.807,82.300,0.2562,0.2943,0.2600,0.3308,0.2782,0.2498,59.445,55.690
13,05/31/22 10:00:00 PM,0.000,52.115,57.722,56.512,85.700,0.2562,0.2939,0.2595,0.3304,0.2782,0.2498,58.152,54.300
14,05/31/22 10:30:00 PM,0.000,52.115,57.463,54.995,89.300,0.2562,0.2939,0.2595,0.3300,0.2786,0.2494,56.556,52.729
15,05/31/22 11:00:00 PM,0.000,52.115,57.204,55.819,88.000,0.2562,0.2939,0.2591,0.3300,0.2782,0.2494,57.247,53.559
16,05/31/22 11:30:00 PM,0.000,52.115,56.988,54.169,90.400,0.2557,0.2939,0.2591,0.3295,0.2782,0.2489,55.256,52.772
17,06/01/22 12:00:00 AM,0.000,52.115,56.728,53.515,92.600,0.2557,0.2939,0.2587,0.3291,0.2782,0.2485,54.430,52.115
18,06/01/22 12:30:00 AM,0.000,52.160,56.512,52.641,93.900,0.2557,0.2939,0.2587,0.3287,0.2782,0.2481,53.209,51.413
19,06/01/22 01:00:00 AM,0.000,52.115,56.295,51.984,95.400,0.2557,0.2935,0.2583,0.3283,0.2782,0.2481,52.509,50.974
20,06/01/22 01:30:00 AM,0.000,52.160,56.079,51.237,96.300,0.2557,0.2935,0.2583,0.3283,0.2782,0.2477,51.721,50.311
21,06/01/22 02:00:00 AM,0.000,52.160,55.863,51.017,96.700,0.2557,0.2935,0.2578,0.3283,0.2782,0.2477,52.029,49.692
22,06/01/22 02:30:00 AM,0.000,52.160,55.647,51.105,96.900,0.2557,0.2939,0.2578,0.3278,0.2782,0.2472,51.852,49.959
23,06/01/22 03:00:00 AM,0.000,52.160,55.472,51.370,97.200,0.2557,0.2935,0.2574,0.3278,0.2782,0.2472,51.895,50.400
24,06/01/22 03:30:00 AM,0.000,52.160,55.256,51.413,97.300,0.2553,0.2935,0.2574,0.3278,0.2782,0.2468,51.940,50.621
25,06/01/22 04:00:00 AM,0.000,52.160,55.081,51.413,97.400,0.2553,0.2931,0.2570,0.3274,0.2782,0.2464,51.940,50.488
26,06/01/22 04:30:00 AM,0.000,52.203,54.952,51.062,97.500,0.2553,0.2931,0.2570,0.3274,0.2782,0.2464,51.544,50.533
27,06/01/22 05:00:00 AM,0.000,52.203,54.777,50.709,97.700,0.2553,0.2935,0.2566,0.3274,0.2782,0.2464,51.193,50.135
28,06/01/22 05:30:00 AM,0.000,52.203,54.648,50.664,97.700,0.2553,0.2931,0.2566,0.3270,0.2778,0.2460,51.237,49.737
29,06/01/22 06:00:00 AM,0.000,52.203,54.516,50.841,97.800,0.2553,0.2931,0.2566,0.3266,0.2778,0.2460,51.458,50.268
30,06/01/22 06:30:00 AM,0.000,52.246,54.387,52.160,97.800,0.2553,0.2931,0.2562,0.3266,0.2778,0.2455,52.772,52.729
31,06/01/22 07:00:00 AM,0.000,52.246,54.255,53.994,97.700,0.2553,0.2931,0.2562,0.3261,0.2774,0.2455,54.343,56.599
