"Plot Title: slicemsNEW"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 21186437, SEN S/N: 20898458)","Rain, in (LGR S/N: 21186437, SEN S/N: 20914545)","Wetness, % (LGR S/N: 21186437, SEN S/N: 21182997)"
1,02/17/23 11:00:47 AM,48.004,,4.12
2,02/17/23 11:15:47 AM,49.204,0.000,4.12
3,02/17/23 11:30:47 AM,50.268,0.000,4.12
4,02/17/23 11:45:47 AM,50.268,0.000,4.12
5,02/17/23 12:00:47 PM,52.115,0.000,4.12
6,02/17/23 12:15:47 PM,52.992,0.000,4.12
7,02/17/23 12:30:47 PM,54.037,0.000,4.12
8,02/17/23 12:45:47 PM,55.081,0.000,4.12
9,02/17/23 01:00:47 PM,52.860,0.000,3.53
10,02/17/23 01:15:47 PM,51.809,0.000,4.12
11,02/17/23 01:30:47 PM,53.253,0.000,4.12
12,02/17/23 01:45:47 PM,53.515,0.000,3.53
13,02/17/23 02:00:47 PM,52.992,0.000,4.12
14,02/17/23 02:15:47 PM,51.809,0.000,4.12
15,02/17/23 02:30:47 PM,51.370,0.000,3.53
16,02/17/23 02:45:47 PM,51.325,0.000,3.53
17,02/17/23 03:00:47 PM,50.621,0.000,3.53
18,02/17/23 03:15:47 PM,50.533,0.000,3.53
19,02/17/23 03:30:47 PM,49.870,0.000,3.53
20,02/17/23 03:45:47 PM,48.493,0.000,3.53
21,02/17/23 04:00:47 PM,47.781,0.000,3.53
22,02/17/23 04:15:47 PM,47.959,0.000,3.53
23,02/17/23 04:30:47 PM,45.669,0.000,3.53
24,02/17/23 04:45:47 PM,44.037,0.000,3.53
25,02/17/23 05:00:47 PM,42.755,0.000,3.53
26,02/17/23 05:15:47 PM,41.601,0.000,3.53
27,02/17/23 05:30:47 PM,39.690,0.000,3.53
28,02/17/23 05:45:47 PM,39.173,0.000,3.53
29,02/17/23 06:00:47 PM,38.842,0.000,3.53
30,02/17/23 06:15:47 PM,38.511,0.000,3.53
31,02/17/23 06:30:47 PM,39.313,0.000,3.53
32,02/17/23 06:45:47 PM,39.454,0.000,3.53
33,02/17/23 07:00:47 PM,38.984,0.000,3.53
34,02/17/23 07:15:47 PM,38.131,0.000,3.53
35,02/17/23 07:30:47 PM,37.609,0.000,3.53
36,02/17/23 07:45:47 PM,37.798,0.000,3.53
