"Plot Title: slicesm"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 21186454, SEN S/N: 21336768, LBL: 100)","Water Content, m³/m³ (LGR S/N: 21186454, SEN S/N: 21336769, LBL: 100)","Water Content, m³/m³ (LGR S/N: 21186454, SEN S/N: 21336774, LBL: 20)","Water Content, m³/m³ (LGR S/N: 21186454, SEN S/N: 21336781, LBL: 20)"
1,03/25/22 01:00:01 AM,0.3711,0.3798,0.3877,0.3496
2,03/25/22 01:30:01 AM,0.3711,0.3798,0.3877,0.3496
3,03/25/22 02:00:01 AM,0.3711,0.3793,0.3877,0.3490
4,03/25/22 02:30:01 AM,0.3711,0.3793,0.3883,0.3496
5,03/25/22 03:00:01 AM,0.3711,0.3798,0.3877,0.3496
6,03/25/22 03:30:01 AM,0.3711,0.3798,0.3883,0.3496
7,03/25/22 04:00:01 AM,0.3711,0.3798,0.3877,0.3496
8,03/25/22 04:30:01 AM,0.3711,0.3793,0.3877,0.3500
9,03/25/22 05:00:01 AM,0.3711,0.3798,0.3883,0.3500
10,03/25/22 05:30:01 AM,0.3711,0.3804,0.3890,0.3500
11,03/25/22 06:00:01 AM,0.3711,0.3798,0.3890,0.3500
12,03/25/22 06:30:01 AM,0.3711,0.3798,0.3890,0.3496
13,03/25/22 07:00:01 AM,0.3711,0.3798,0.3890,0.3500
14,03/25/22 07:30:01 AM,0.3711,0.3798,0.3890,0.3500
15,03/25/22 08:00:01 AM,0.3711,0.3804,0.3883,0.3500
16,03/25/22 08:30:01 AM,0.3711,0.3798,0.3883,0.3506
17,03/25/22 09:00:01 AM,0.3716,0.3798,0.3890,0.3506
18,03/25/22 09:30:01 AM,0.3716,0.3804,0.3883,0.3506
19,03/25/22 10:00:01 AM,0.3711,0.3804,0.3890,0.3506
20,03/25/22 10:30:01 AM,0.3711,0.3798,0.3890,0.3506
21,03/25/22 11:00:01 AM,0.3711,0.3804,0.3890,0.3506
22,03/25/22 11:30:01 AM,0.3711,0.3798,0.3890,0.3506
23,03/25/22 12:00:01 PM,0.3716,0.3798,0.3890,0.3511
24,03/25/22 12:30:01 PM,0.3716,0.3798,0.3895,0.3506
25,03/25/22 01:00:01 PM,0.3716,0.3804,0.3895,0.3511
26,03/25/22 01:30:01 PM,0.3716,0.3798,0.3895,0.3511
27,03/25/22 02:00:01 PM,0.3711,0.3798,0.3890,0.3511
28,03/25/22 02:30:01 PM,0.3711,0.3798,0.3890,0.3511
29,03/25/22 03:00:01 PM,0.3711,0.3804,0.3895,0.3511
30,03/25/22 03:30:01 PM,0.3711,0.3798,0.3895,0.3516
31,03/25/22 04:00:01 PM,0.3711,0.3798,0.3895,0.3511
32,03/25/22 04:30:01 PM,0.3711,0.3798,0.3895,0.3516
33,03/25/22 05:00:01 PM,0.3711,0.3798,0.3895,0.3516
34,03/25/22 05:30:01 PM,0.3711,0.3798,0.3890,0.3516
35,03/25/22 06:00:01 PM,0.3711,0.3798,0.3902,0.3516
36,03/25/22 06:30:01 PM,0.3705,0.3793,0.3895,0.3516
37,03/25/22 07:00:01 PM,0.3705,0.3793,0.3902,0.3516
38,03/25/22 07:30:01 PM,0.3705,0.3793,0.3895,0.3521
39,03/25/22 08:00:01 PM,0.3705,0.3793,0.3895,0.3516
40,03/25/22 08:30:01 PM,0.3711,0.3793,0.3895,0.3521
41,03/25/22 09:00:01 PM,0.3711,0.3793,0.3895,0.3516
42,03/25/22 09:30:01 PM,0.3705,0.3793,0.3902,0.3516
43,03/25/22 10:00:01 PM,0.3711,0.3798,0.3902,0.3516
44,03/25/22 10:30:01 PM,0.3711,0.3793,0.3895,0.3516
45,03/25/22 11:00:01 PM,0.3705,0.3798,0.3895,0.3521
46,03/25/22 11:30:01 PM,0.3705,0.3793,0.3902,0.3521
47,03/26/22 12:00:01 AM,0.3705,0.3793,0.3909,0.3521
48,03/26/22 12:30:01 AM,0.3705,0.3793,0.3902,0.3521
49,03/26/22 01:00:01 AM,0.3711,0.3793,0.3909,0.3521
50,03/26/22 01:30:01 AM,0.3711,0.3793,0.3902,0.3516
51,03/26/22 02:00:01 AM,0.3705,0.3793,0.3902,0.3521
52,03/26/22 02:30:01 AM,0.3711,0.3793,0.3909,0.3521
53,03/26/22 03:00:01 AM,0.3711,0.3793,0.3902,0.3521
54,03/26/22 03:30:01 AM,0.3705,0.3793,0.3909,0.3521
55,03/26/22 04:00:01 AM,0.3705,0.3793,0.3902,0.3521
