"Plot Title: slicmix"
"#","Date Time, GMT-08:00","Wetness, % (LGR S/N: 21211901, SEN S/N: 21183001)","Temp, °F (LGR S/N: 21211901, SEN S/N: 21212618)","Temperature, *C (LGR S/N: 21211901, SEN S/N: 21238067)","RH, % (LGR S/N: 21211901, SEN S/N: 21238067)","Temperature, *C (LGR S/N: 21211901, SEN S/N: 21238073)","RH, % (LGR S/N: 21211901, SEN S/N: 21238073)"
1,03/25/22 01:00:02 AM,2.94,48.450,12.6572,50.0008,12.7108,49.7169
2,03/25/22 01:30:02 AM,2.94,48.360,7.6679,99.4903,7.6867,98.7701
3,03/25/22 02:00:02 AM,2.94,48.405,7.0781,99.3988,7.1102,98.6404
4,03/25/22 02:30:02 AM,2.94,48.405,6.9119,99.8138,6.9119,99.3698
5,03/25/22 03:00:02 AM,2.94,48.405,7.5955,99.9969,7.6384,99.9969
6,03/25/22 03:30:02 AM,2.94,48.405,7.7778,99.9969,7.7939,99.9969
7,03/25/22 04:00:02 AM,2.94,48.405,7.6599,99.9969,7.6733,99.9969
8,03/25/22 04:30:02 AM,2.94,48.405,7.4212,99.9969,7.4400,99.7238
9,03/25/22 05:00:02 AM,2.94,48.405,7.0513,99.9832,7.0727,99.5682
10,03/25/22 05:30:02 AM,2.94,48.405,7.1183,99.9969,7.1478,99.9969
11,03/25/22 06:00:02 AM,2.94,48.450,7.2604,99.9969,7.2711,99.9329
12,03/25/22 06:30:02 AM,2.94,48.450,7.0432,99.9969,7.0754,99.9695
13,03/25/22 07:00:02 AM,2.94,48.450,6.9896,99.9969,7.0111,99.9939
14,03/25/22 07:30:02 AM,2.94,48.450,6.9789,99.9969,6.9950,99.9557
15,03/25/22 08:00:02 AM,2.94,48.405,7.1156,99.9969,7.1344,99.9969
16,03/25/22 08:30:02 AM,2.94,48.405,7.2845,99.9969,7.3113,99.9969
17,03/25/22 09:00:02 AM,2.94,48.450,7.3944,99.9969,7.4025,99.9969
18,03/25/22 09:30:02 AM,2.94,48.405,7.9280,98.3764,7.9521,97.9004
19,03/25/22 10:00:02 AM,2.94,48.405,7.9199,96.5087,7.9440,95.8145
20,03/25/22 10:30:02 AM,2.94,48.405,8.3194,93.1350,8.3489,92.4025
21,03/25/22 11:00:02 AM,2.94,48.405,8.7269,92.2286,8.7483,91.5007
22,03/25/22 11:30:02 AM,2.94,48.405,10.3623,85.9953,10.4240,85.4932
23,03/25/22 12:00:02 PM,2.94,48.405,11.4937,80.5478,11.4963,80.0870
24,03/25/22 12:30:02 PM,2.94,48.405,11.8797,76.0693,11.9253,75.6085
25,03/25/22 01:00:02 PM,2.94,48.405,12.6947,71.8441,12.7403,71.6167
26,03/25/22 01:30:02 PM,2.94,48.405,13.5982,65.6596,13.6358,65.4398
27,03/25/22 02:00:02 PM,2.94,48.360,13.6063,65.7252,13.6572,65.6870
28,03/25/22 02:30:02 PM,2.94,48.360,13.4240,67.0314,13.4803,66.6957
29,03/25/22 03:00:02 PM,2.94,48.360,13.5446,64.4099,13.5822,64.2847
30,03/25/22 03:30:02 PM,2.94,48.360,13.2792,65.4749,13.3141,65.4307
31,03/25/22 04:00:02 PM,2.94,48.360,13.7832,58.6252,13.8181,58.7213
32,03/25/22 04:30:02 PM,2.35,48.360,12.7618,67.2587,12.7859,67.2938
33,03/25/22 05:00:02 PM,2.35,48.360,11.9843,75.7443,12.0245,75.7031
34,03/25/22 05:30:02 PM,2.35,48.315,11.0754,76.9924,11.1317,76.5225
35,03/25/22 06:00:02 PM,2.35,48.315,10.1585,80.8301,10.1987,80.5859
36,03/25/22 06:30:02 PM,2.35,48.315,9.5044,82.9587,9.5231,82.4170
37,03/25/22 07:00:02 PM,2.35,48.315,8.7671,81.7960,8.8207,81.2833
38,03/25/22 07:30:02 PM,2.35,48.315,8.4186,85.1820,8.4507,84.7669
39,03/25/22 08:00:02 PM,2.35,48.315,8.4534,85.1881,8.4695,84.7074
40,03/25/22 08:30:02 PM,2.35,48.315,8.3623,83.6759,8.3784,83.2837
41,03/25/22 09:00:02 PM,2.35,48.315,7.8502,88.2658,7.8743,87.9042
42,03/25/22 09:30:02 PM,2.35,48.360,7.7188,87.8187,7.7644,87.2496
43,03/25/22 10:00:02 PM,2.35,48.360,7.4695,89.7536,7.5151,89.2180
44,03/25/22 10:30:02 PM,2.35,48.360,7.3006,90.6249,7.3355,90.0816
45,03/25/22 11:00:02 PM,2.35,48.360,7.0137,91.7617,7.0405,91.1162
46,03/25/22 11:30:02 PM,2.35,48.360,7.1505,90.4799,7.1692,89.9184
47,03/26/22 12:00:02 AM,2.35,48.360,6.8663,93.0846,6.9011,92.4880
48,03/26/22 12:30:02 AM,2.35,48.360,7.0030,93.8491,7.0218,93.2631
49,03/26/22 01:00:02 AM,2.35,48.360,7.4293,93.3379,7.4320,92.7123
50,03/26/22 01:30:02 AM,2.35,48.405,7.1210,92.7565,7.1505,92.1187
51,03/26/22 02:00:02 AM,2.35,48.405,7.3944,92.4773,7.4052,91.8730
52,03/26/22 02:30:02 AM,2.94,48.405,8.0164,89.7612,8.0325,89.1463
53,03/26/22 03:00:02 AM,2.35,48.405,8.3274,89.5186,8.3489,88.9784
54,03/26/22 03:30:02 AM,2.94,48.405,8.2818,91.5709,8.3087,90.9361
55,03/26/22 04:00:02 AM,3.53,48.405,7.9011,94.8928,7.9280,94.2351
56,03/26/22 04:30:02 AM,4.12,48.405,7.6840,98.0636,7.6867,97.5158
57,03/26/22 05:00:02 AM,4.71,48.405,7.4936,98.7716,7.5151,98.0575
58,03/26/22 05:30:02 AM,5.29,48.405,7.5097,99.8077,7.5419,99.2111
59,03/26/22 06:00:02 AM,4.71,48.405,7.6599,99.6811,7.6893,98.8998
60,03/26/22 06:30:02 AM,4.71,48.405,7.8502,99.7467,7.8690,98.9975
61,03/26/22 07:00:02 AM,4.12,48.405,8.2631,99.9496,8.2631,99.3225
62,03/26/22 07:30:02 AM,3.53,48.405,8.7215,99.6612,8.7510,99.0219
63,03/26/22 08:00:02 AM,3.53,48.405,9.4776,99.3774,9.5071,98.7030
64,03/26/22 08:30:02 AM,3.53,48.360,9.9360,98.6954,9.9762,97.8256
65,03/26/22 09:00:02 AM,2.94,48.360,11.1130,90.6447,11.1264,89.9931
66,03/26/22 09:30:02 AM,2.94,48.360,12.2229,86.3233,12.2497,85.7343
67,03/26/22 10:00:02 AM,2.94,48.360,13.7940,78.4787,13.8127,78.2910
68,03/26/22 10:30:02 AM,2.94,48.360,15.1800,71.2886,15.2256,71.0964
69,03/26/22 11:00:02 AM,2.94,48.360,16.3811,63.0640,16.4508,63.0381
70,03/26/22 11:30:02 AM,2.94,48.360,17.2471,59.6124,17.3060,59.5773
71,03/26/22 12:00:02 PM,2.94,48.360,18.3382,55.9716,18.3463,56.0983
72,03/26/22 12:30:02 PM,2.94,48.360,18.7833,55.0423,18.8101,55.2575
73,03/26/22 01:00:02 PM,2.94,48.315,19.4374,52.9854,19.4964,53.2097
74,03/26/22 01:30:02 PM,2.94,48.315,19.9897,51.7494,20.0112,52.0012
