z6B00953,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,Port 7,Port 7
Records: 6908,10HS,10HS,10HS,10HS,10HS,10HS,Battery,Battery
Timestamp, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content,% Battery Percent, mV Battery Voltage
5/31/22 15:00,0.351,0.401,0.331,0.365,0.096,0.352,61,7852
5/31/22 16:00,0.351,0.397,0.331,0.366,0.093,0.352,100,9284
5/31/22 17:00,0.351,0.397,0.331,0.365,0.093,0.352,100,9281
5/31/22 18:00,0.351,0.397,0.331,0.364,0.093,0.352,100,9280
5/31/22 19:00,0.351,0.397,0.331,0.364,0.093,0.352,100,9278
5/31/22 20:00,0.351,0.397,0.331,0.364,0.093,0.352,100,9277
5/31/22 21:00,0.351,0.397,0.331,0.364,0.092,0.352,100,9278
5/31/22 22:00,0.351,0.397,0.331,0.365,0.092,0.352,100,9279
5/31/22 23:00,0.351,0.397,0.331,0.365,0.092,0.352,100,9279
6/1/22 0:00,0.351,0.397,0.331,0.365,0.092,0.352,100,9282
6/1/22 1:00,0.351,0.397,0.332,0.362,0.092,0.352,100,9279
6/1/22 2:00,0.351,0.397,0.332,0.363,0.092,0.352,100,9277
6/1/22 3:00,0.351,0.397,0.332,0.363,0.092,0.352,100,9275
6/1/22 4:00,0.351,0.397,0.332,0.363,0.092,0.352,100,9274
6/1/22 5:00,0.351,0.397,0.332,0.363,0.091,0.352,100,9276
6/1/22 6:00,0.351,0.397,0.332,0.363,0.091,0.352,100,9274
6/1/22 7:00,0.351,0.397,0.332,0.363,0.091,0.352,100,9274
6/1/22 8:00,0.351,0.397,0.332,0.363,0.091,0.352,100,9272
6/1/22 9:00,0.351,0.397,0.332,0.363,0.091,0.352,100,9273
6/1/22 10:00,0.351,0.397,0.332,0.363,0.091,0.352,100,9267
6/1/22 11:00,0.351,0.397,0.332,0.363,0.091,0.352,100,9269
6/1/22 12:00,0.351,0.397,0.332,0.363,0.090,0.352,100,9267
6/1/22 13:00,0.351,0.397,0.332,0.363,0.090,0.352,100,9263
6/1/22 14:00,0.351,0.397,0.332,0.363,0.090,0.351,100,9264
6/1/22 15:00,0.351,0.397,0.331,0.363,0.089,0.351,100,9259
6/1/22 16:00,0.351,0.397,0.331,0.362,0.089,0.351,100,9257
6/1/22 17:00,0.351,0.397,0.332,0.362,0.089,0.351,100,9255
6/1/22 18:00,0.351,0.397,0.332,0.361,0.089,0.351,100,9256
6/1/22 19:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9255
6/1/22 20:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9255
6/1/22 21:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9250
6/1/22 22:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9250
6/1/22 23:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9245
6/2/22 0:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9246
6/2/22 1:00,0.351,0.397,0.332,0.360,0.088,0.351,100,9247
6/2/22 2:00,0.351,0.397,0.332,0.360,0.088,0.351,100,9244
6/2/22 3:00,0.351,0.397,0.332,0.360,0.088,0.351,100,9244
6/2/22 4:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9242
6/2/22 5:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9241
6/2/22 6:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9241
6/2/22 7:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9241
6/2/22 8:00,0.351,0.397,0.332,0.361,0.088,0.351,100,9241
6/2/22 9:00,0.351,0.396,0.332,0.361,0.088,0.351,100,9239
6/2/22 10:00,0.351,0.396,0.332,0.361,0.087,0.351,100,9240
6/2/22 11:00,0.351,0.396,0.332,0.361,0.087,0.351,100,9237
6/2/22 12:00,0.351,0.396,0.332,0.361,0.087,0.351,100,9234
6/2/22 13:00,0.351,0.396,0.332,0.361,0.087,0.351,100,9230
6/2/22 14:00,0.351,0.396,0.332,0.361,0.087,0.351,100,9225
6/2/22 15:00,0.351,0.396,0.331,0.360,0.086,0.351,100,9225
6/2/22 16:00,0.351,0.396,0.331,0.360,0.086,0.351,100,9224
6/2/22 17:00,0.351,0.396,0.331,0.361,0.086,0.351,100,9222
6/2/22 18:00,0.351,0.396,0.331,0.360,0.086,0.351,100,9221
6/2/22 19:00,0.351,0.396,0.331,0.360,0.086,0.351,100,9218
6/2/22 20:00,0.351,0.396,0.331,0.360,0.085,0.351,100,9218
6/2/22 21:00,0.351,0.396,0.331,0.360,0.085,0.351,100,9215
6/2/22 22:00,0.351,0.396,0.331,0.360,0.085,0.351,100,9214
6/2/22 23:00,0.351,0.396,0.331,0.360,0.085,0.351,100,9212
6/3/22 0:00,0.351,0.396,0.332,0.360,0.085,0.351,100,9209
6/3/22 1:00,0.351,0.396,0.332,0.359,0.085,0.351,100,9206
6/3/22 2:00,0.351,0.396,0.332,0.359,0.085,0.351,100,9212
6/3/22 3:00,0.351,0.396,0.332,0.359,0.085,0.351,100,9209
6/3/22 4:00,0.351,0.396,0.332,0.359,0.085,0.351,100,9208
6/3/22 5:00,0.351,0.396,0.332,0.360,0.085,0.351,100,9205
6/3/22 6:00,0.351,0.396,0.332,0.360,0.085,0.351,100,9209
